node;degree;strength;clustering_coefficient;average_path_length;betweenness_centrality;eigenvector_centrality;pagerank;pagerank_num
GVA;63;125264.5;0.4321556579621096;3.238319048935582;0.0004967185736241504;0.08246874242254686;0.0013142742227783282;125.0
RAB;13;2762.0;0.15384615384615385;4.734310201824717;0.004507025021492477;3.2064550062741006e-05;0.001269331600925455;126.0
DPS;26;69389.0;0.3630769230769231;3.473043959082112;0.0035592613192186808;0.007602980302153282;0.001252113939241037;127.0
PUS;19;132807.0;0.32748538011695905;3.5518385402267074;0.000730107137658298;0.007896370719451758;0.0012438890522604262;128.0
ANK;44;47582.0;0.17970401691331925;3.489908764169201;0.006195732031247662;0.03453238769579315;0.001233409542242978;129.0
ADD;37;16197.5;0.15615615615615616;3.4340613768316284;0.017017744147689848;0.019039055279383144;0.0012284031459788938;130.0
PMI;50;124865.5;0.3763265306122449;3.4962676251036773;0.000573978157570822;0.0515154845017157;0.0012108487321402413;131.0
OAK;26;155563.5;0.563076923076923;3.4124965440973183;0.00010878889900123373;0.023551654464530156;0.0011961391695169727;132.0
AUH;61;74375.5;0.2983606557377049;3.1774951617362457;0.004168411165584725;0.051896326331092604;0.0011850369026875467;133.0
DRW;24;19543.0;0.16666666666666666;3.7702515897152336;0.009794452407981482;0.0029781732323846434;0.0011847673870233237;134.0
HIR;19;1223.0;0.05263157894736842;4.285595797622339;0.01128889980369657;0.00023562926754949783;0.001181769875465114;135.0
STR;77;113412.5;0.32946001367054;3.326790157589162;0.0009733873870849052;0.08361436235519736;0.0011668089605842082;136.0
MRS;47;89135.0;0.2904717853839038;3.4857616809510645;0.00031941917917091496;0.041690981125886956;0.0011478107210237875;137.0
LYS;61;88480.0;0.2797814207650273;3.354160906828864;0.0021422951466988816;0.06029555360479939;0.0011324449911314484;138.0
RDU;51;160150.5;0.5098039215686274;3.3588609344760854;0.000527033573493427;0.05316366673359775;0.0011271647076066616;139.0
MAJ;19;1570.0;0.04093567251461988;4.103400608238872;0.013264950745588389;0.0005525819565522851;0.0011249500861492128;140.0
WAW;55;86836.5;0.4585858585858586;3.2444014376555157;0.0015569502827241736;0.07519898263721464;0.001119779324941013;141.0
GLA;36;91377.5;0.2968253968253968;3.360796239977882;0.003326366308023659;0.03390688506652097;0.0011123767416911568;142.0
GDL;37;103151.0;0.2912912912912913;3.544926734863146;0.0007949929473597779;0.019496447790340935;0.0010928616810561556;143.0
BNA;47;160174.5;0.6873265494912119;3.37074923970141;6.363674651732173e-05;0.0547501562261434;0.0010896022539916513;144.0
MSY;42;155178.5;0.6747967479674797;3.3931434890793475;0.00020078330014303933;0.049879471450546255;0.001087728906599924;145.0
SZX;36;92664.0;0.4158730158730159;3.9259054465026266;7.488824501321704e-05;0.004834654810418309;0.0010870596945781819;146.0
MDE;23;38564.5;0.16996047430830039;3.9952999723527785;0.002904860265414348;0.003171250029894436;0.0010829890948812855;147.0
HKN;12;2321.0;0.18181818181818182;4.730439590821122;0.005168623220217602;3.1557354448361113e-05;0.0010814919974398867;148.0
PTY;44;40106.0;0.19238900634249473;3.3787669339231408;0.009234495997952584;0.02145711652831476;0.0010752464245842295;149.0
YOW;26;65534.5;0.3353846153846154;3.3746198507050043;0.006946341005771602;0.023771696020998545;0.001069884284643031;150.0
SGN;28;55598.0;0.25925925925925924;3.4614321260713297;0.005732464866794492;0.011061070059708912;0.001069214744311737;151.0
ABQ;36;105678.0;0.3412698412698413;3.423002488249931;0.004188841409167535;0.02902630608015947;0.001067623057998655;152.0
CTU;38;79010.0;0.4039829302987198;3.644456732098424;0.001541341511515812;0.007911314909127732;0.0010592898758714424;153.0
CJU;17;111525.0;0.25735294117647056;3.659939176112801;0.0006556160311196877;0.005716702778847165;0.0010540285842003507;154.0
SJO;33;41031.5;0.19696969696969696;3.5640033176665744;0.007403530376235465;0.017287358030678844;0.0010514862737780245;155.0
KTN;22;6704.5;0.03463203463203463;3.9654409731821953;0.010156978684764409;0.0011926117117519051;0.001050902468383116;156.0
SIA;39;72445.0;0.4089068825910931;3.620680121647774;0.0022816198335081873;0.008388885898757782;0.0010475932534684458;157.0
SSA;20;63258.0;0.26842105263157895;3.7851810893005253;0.00187003540189472;0.00525738913778986;0.001040428477588999;158.0
NAN;25;18500.0;0.21;3.4265966270389825;0.012277813163261306;0.005868292612434558;0.0010399861030208572;159.0
VLI;20;3358.0;0.14736842105263157;4.077412220071883;0.015877248711167087;0.0010004608656370628;0.0010260755047187013;160.0
YZF;18;7780.0;0.06535947712418301;4.431020182471662;0.010581652410465684;0.0002960474438743747;0.0010247969729851765;161.0
YHZ;22;50930.0;0.22943722943722944;3.570638650815593;0.0023860631738167218;0.013356781683260778;0.0010126842353754446;162.0
OME;18;4027.0;0.13725490196078433;4.204312966546862;0.007437094108529971;0.00029074522074930243;0.0010100472737802758;163.0
MCT;35;52748.5;0.31596638655462184;3.6756980923417197;0.0024304064620595694;0.014594080028528139;0.001004324405439573;164.0
PRG;61;77534.0;0.4912568306010929;3.2316837157865637;0.0017758005351955625;0.08484589069257488;0.001001325454934857;165.0
TAS;55;33294.0;0.22424242424242424;3.1987835222560133;0.004734456786214858;0.04021770565120213;0.0009994236083627874;166.0
CCU;32;39451.0;0.16733870967741934;3.3848493226430745;0.005699747201106071;0.011355415384842934;0.0009977217938117113;167.0
BGO;18;72490.0;0.2549019607843137;3.5703621786010507;0.0014178532755384208;0.012634820679607483;0.000994658815236967;168.0
MAA;28;60192.0;0.3333333333333333;3.3320431296654687;0.001984830729687761;0.019744222584635086;0.0009915153447601103;169.0
RGN;24;21064.0;0.17028985507246377;3.6151506773569255;0.009977993602671842;0.005386765943723894;0.0009865178643287831;170.0
NAS;38;43174.0;0.16642958748221906;3.348631462538015;0.007459480597938982;0.027603247276745135;0.0009782359812809639;171.0
CAS;49;57504.0;0.2950680272108844;3.2726016035388446;0.002652314385667214;0.05108436620154773;0.0009721286185346475;172.0
DAC;33;45106.5;0.4053030303030303;3.22560132706663;0.0040625949738700455;0.027407358938391416;0.0009628328887706169;173.0
